Unnamed: 0.1,Unnamed: 0,Name,Gender,Birth date,Country,Job,First crime age ,Cause,Motive,Victim audience,Proven victims,Total victims,Level of cruelty,Crime longitude,Imprisoned years,Family,Weapon,Alive or dead,By whom,Imprisoned years processed,IQ processed,Consolidated Motive,Consolidated Victim Audience,Generation
42,42,Gerald Stano,Male,12.09.1951,USA,Police,18,Mental illness,Misogyny,Young girls,22,88,Hard,11,10000,Youngest,Bare hands,Dead,None/No one,Death penalty,No info,Other Motives,Young Individuals,Baby Boomer Generation
43,43,Manuel Octavio Bermúdez,Male,15.10.1961,Colombia,Service,38,Bullying,Desire for power,Children,21,50,Moderate,4,25,Only child,Pills/Injection,Alive,Parents,"Prisoned for years, not for lifetime",No info,Desire for Power or Fame,Children,Baby Boomer Generation
44,44,Patrick Kearney,Male,24.09.1939,USA,Male prostitute,26,Bullying,The desire to cleanse the world of homosexuals,Young boys,21,43,Hard,12,2100,Eldest,Shooting,Alive,Family members,Life imprisonment,No info,Cleansing or Societal Change,Young Individuals,Silent Generation
45,45,Mikhail Novosyolov,Male,1960,Russia,Medical Employee,17,Bullying,Revenge,All,22,22,Moderate,18,0,No info,Bare hands,Alive,Prostitutes/Women,Not imprisoned/Other,Intellectual,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
46,46,William Bonin,Male,08.01.1947,USA,Transportation,32,Sexual abuse,Desire for power,Children,21,36,Easy,1,15,No info,Bare hands,Dead,Parents,"Prisoned for years, not for lifetime",No info,Desire for Power or Fame,Children,Baby Boomer Generation
47,47,Yoo Young Chul,Male,18.04.1970,South Korea,Teacher,33,Resentment/Hate,Hate for women,Prostitutes,21,26,Hard,1,7,No info,Bare hands,Alive,Prostitutes/Women,"Prisoned for years, not for lifetime",Intellectual,Revenge or Hatred,Prostitutes,Generation X
48,48,Surinder Koli,Male,1970,India,Labourer,35,Bullying,Desire for power,Children,19,30,Moderate,1,10000,No info,Metal object,Dead,Parents,Death penalty,No info,Desire for Power or Fame,Children,Generation X
49,49,Abdullah Shah,Male,1965, Afghanistan,Soldier,25,Resentment/Hate,No info,All,20,20,Hard,1,10000,No info,Fire,Dead,Partner,Death penalty,No info,Miscellaneous or Undefined,Miscellaneous Groups,Generation X
50,50,Mohan Kumar,Male,1963,India,Teacher,40,Without any Cause,No info,Women looking for marriage,20,20,Easy,4,100,No info,Pills/Injection,Alive,None/No one,Life imprisonment,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,Baby Boomer Generation
51,51,Bulelani Mabhayi,Male,1974,South Africa,Unemployed,33,Bullying,Desire for power,Women,20,20,Moderate,5,25,No info,Bare hands,Alive,Parents,"Prisoned for years, not for lifetime",No info,Desire for Power or Fame,Miscellaneous Groups,Generation X
52,52,Larry Eyler,Male,21.12.1952,USA,Labourer,30,Sexual abuse,Desire for power,Hitchhikers,19,23,Moderate,2,10000,No info,Metal object,Dead,Social Circle,Death penalty,No info,Desire for Power or Fame,Miscellaneous Groups,Baby Boomer Generation
53,53,Cape Town Prostitute Killer,Other,None/No Info,South Africa,Unidentified,-,Without any Cause,Hate prostitutes,Prostitutes,19,20,Moderate,4,0,No info,Car,Dead,None/No one,Not imprisoned/Other,Intellectual,Revenge or Hatred,Prostitutes,Unknown
54,54,El Psicopata,Other,None/No Info,Costa Rica,Unidentified,-,Without any Cause,No info,Single women,19,19,Easy,10,0,No info,Shooting,Dead,None/No one,Not imprisoned/Other,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,Unknown
55,55,Sergei Ryakhovsky,Male,29.12.1962,Russia,Service,26,Without any Cause,Cleanse society by killing homosexuals and prostitutes,Homosexuals and prostitutes,19,24,Hard,5,100,Eldest,Metal object,Dead,None/No one,Life imprisonment,No info,Cleansing or Societal Change,Prostitutes,Baby Boomer Generation
56,56,Yevgeny Chuplinsky,Male,14.03.1965,Russia,Police,33,Without any Cause,No info,Prostitutes,19,19,Hard,8,100,No info,Unidentified,Alive,None/No one,Life imprisonment,Intellectual,Miscellaneous or Undefined,Prostitutes,Generation X
57,57,M. Jaishankar,Male,1977,India,Transportation,31,Mental illness,Hate prostitutes,Prostitutes,19,19,Hard,3,30,Youngest,Hammer/Axes,Dead,Brain damage,"Prisoned for years, not for lifetime",No info,Revenge or Hatred,Prostitutes,Xennials
58,58,Vadim Ershov,Male,15.02.1973,Russia,Soldier,19,Bullying,Hide results of crime,All,19,19,Moderate,3,100,No info,Knife,Alive,Social Circle,Life imprisonment,Intellectual,Other Motives,Miscellaneous Groups,Generation X
59,59,Velaphi Ndlangmandla,Male,1966,South Africa,Unidentified,32,Without any Cause,No info,All,19,19,Easy,1,137,No info,Shooting,Alive,None/No one,Life imprisonment,Uneducated,Miscellaneous or Undefined,Miscellaneous Groups,Generation X
60,60,Valery Kopytov,Male,1971,Russia,Service,29,Resentment/Hate,Desire for revenge ,Homeless,19,44,Moderate,4,25,Only child,Metal object,Alive,Homeless,"Prisoned for years, not for lifetime",Uneducated,Revenge or Hatred,Homeless,Generation X
61,61,Randall Woodfield,Male,26.12.1950,USA,Athlete,29,Resentment/Hate,Pervert,All,18,44,Moderate,3,165,Youngest,Bare hands,Alive,Prostitutes/Women,Life imprisonment,Intellectual,Sexual or Sadistic Pleasure,Miscellaneous Groups,Baby Boomer Generation
62,62,Yavuz Yapicioglu,Male,1967,Turkey,Businessman,27,Bullying,Hate relatives,Relatives ,18,40,Moderate,8,40,Eldest,Metal object,Alive,Family members,"Prisoned for years, not for lifetime",Intellectual,Revenge or Hatred,Miscellaneous Groups,Generation X
63,63,Paul John Knowles ,Male,25.04.1946,USA,Service,29,Mental illness,Incarcerate,All,18,35,Easy,1,10000,Only child,Shooting,Dead,None/No one,Death penalty,No info,Other Motives,Miscellaneous Groups,Baby Boomer Generation
64,64,Thierry Paulin,Male,28.11.1963,France,Male prostitute,21,Bullying,Desire for revenge,Elderly women,18,21,Easy,3,100,Middle,Bare hands,Dead,Family members,Life imprisonment,Uneducated,Revenge or Hatred,Elderly,Baby Boomer Generation
65,65,Richard Nyauza,Male,1970,South Africa,Unidentified,32,Resentment/Hate,Hate women,Black women,18,19,Moderate,4,140,No info,Rock,Alive,Prostitutes/Women,Life imprisonment,Intellectual,Revenge or Hatred,Miscellaneous Groups,Generation X
66,66,Umesh Reddy,Male,1969,India,Police,27,Resentment/Hate,Pervert,Housewives,18,18,Moderate,8,30,No info,Knife,Alive,Prostitutes/Women,"Prisoned for years, not for lifetime",Intellectual,Sexual or Sadistic Pleasure,Miscellaneous Groups,Generation X
67,67,Asande Baninzi,Male,1983,South Africa,Unemployed,18,Without any Cause,Robbery,All,18,18,Moderate,1,189,No info,Bare hands,Alive,None/No one,Life imprisonment,No info,Robbery or Material Gain,Miscellaneous Groups,Xennials
68,68,Richard Cottingham,Male,25.12.1946,USA,Teacher,23,Bullying,Desire for revenge ,Prostitutes,17,100,Hard,13,100,Eldest,Hammer/Axes,Alive,Prostitutes/Women,Life imprisonment,Intellectual,Revenge or Hatred,Prostitutes,Baby Boomer Generation
69,69,Huang Yong,Male,18.11.1974,China,Agriculture employee,27,Without any Cause,Wanted to be murder,Young boys,17,25,Easy,2,10000,No info,Rope,Dead,None/No one,Death penalty,Intellectual,Other Motives,Young Individuals,Generation X
70,70,Pedro Pablo Nakada Ludeña,Male,28.02.1973,Peru,Agriculture employee,32,Mental illness,Pervert,Young women,17,25,Hard,1,35,Eldest,Hammer/Axes,Alive,Personality disorder,"Prisoned for years, not for lifetime",No info,Sexual or Sadistic Pleasure,Young Individuals,Generation X
71,71,Darbara Singh,Male,1960,India,Soldier,44,Resentment/Hate,Revenge for migrants,Children,17,23,Easy,1,11,No info,Bare hands,Dead,Migrants,"Prisoned for years, not for lifetime",Intellectual,Revenge or Hatred,Children,Baby Boomer Generation
72,72,Robert Hansen,Male,15.02.1939,USA,Service,32,Mental illness,Pervert,All,17,21,Moderate,12,461,Eldest,Bare hands,Dead,Personality disorder,Life imprisonment,No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Silent Generation
73,73,Sergei Dovzhenko,Male,30.06.1972,Ukraine,Police,20,Unique,Revenge,All,17,19,Moderate,10,100,No info,Shooting,Alive,None/No one,Life imprisonment,Intellectual,Revenge or Hatred,Miscellaneous Groups,Generation X
74,74,Belle Gonness,Female,11.11.1859,India,Medical Employee,25,Unique,Love,All,14,40,Easy,8,0,No info,Pills/Injection,Dead,None/No one,Not imprisoned/Other,Intellectual,Other Motives,Miscellaneous Groups,Unknown
75,75,Irina Gaidamachuk,Female,22.05.1972,Russia,Medical Employee,30,Resentment/Hate,Desire for revenge,Elderly women,17,17,Easy,8,20,Only child,Pills/Injection,Alive,Parents,"Prisoned for years, not for lifetime",Intellectual,Revenge or Hatred,Elderly,Generation X
76,76,Randy Kraft,Male,19.03.1945,USA,Soldier,26,Mental illness,Pervert,Young boys,16,67,Hard,12,0,Youngest,Bare hands,Alive,Personality disorder,Not imprisoned/Other,Intellectual,Sexual or Sadistic Pleasure,Young Individuals,Silent Generation
77,77,Kristen Gilbert,Female,1982,USA,Medical Employee,28,Without any Cause,No info,Patients,4,7,Easy,1,100,No info,Pills/Injection,Alive,None/No one,Life imprisonment,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,Xennials
78,78,Juana Barraza,Female,27.12.1957,Mexico,Athlete,32,Bullying,Desire for power,Elderly women,16,49,Easy,17,759,Only child,Bare hands,Alive,Parents,Life imprisonment,No info,Desire for Power or Fame,Elderly,Baby Boomer Generation
79,79,Velma Barfield,Female,29.10.1932,USA,Medical Employee,38,Bullying,Revenge,All,6,6,Easy,9,40,Eldest,Fire,Dead,Parents,"Prisoned for years, not for lifetime",No info,Revenge or Hatred,Miscellaneous Groups,Silent Generation
80,80,Martha Beck,Female,06.05.1920,USA,Medical Employee,27,Without any Cause,No info,Women,3,20,Hard,2,10000,No info,Metal object,Dead,None/No one,Death penalty,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,The Greatest Generation
81,81,Elizabeth Wettlaufer,Female,10.06.1967,Canada,Medical Employee,40,Mental illness,Desire for power,Elders,8,8,Easy,7,25,No info,Pills/Injection,Alive,None/No one,"Prisoned for years, not for lifetime",Intellectual,Desire for Power or Fame,Elderly,Generation X
82,82,Maina Ramulu,Male,1976,India,Labourer,27,Mental illness,Hatred for Women,Women,16,18,Moderate,17,0,No info,Bare hands,Alive,Brain damage,Not imprisoned/Other,Uneducated,Revenge or Hatred,Miscellaneous Groups,Xennials
83,83,Dorothea Puente,Female,09.01.1929,USA,Medical Employee,51,Without any Cause,Poverty,Elderls,9,10,Easy,2,100,No info,Pills/Injection,Dead,None/No one,Life imprisonment,No info,Other Motives,Elderly,Silent Generation
84,84,Carol Bundy,Female,26.08.1942,USA,Medical Employee,38,Sexual abuse,No info,All,2,2,Hard,1,204,No info,Shooting,Dead,Parents,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Silent Generation
85,85,Beverley Allitt,Female,04.10.1968,UK,Medical Employee,23,Mental illness,Desire for attention,Children,10,12,Hard,1,30,Eldest,Acid,Alive,None/No one,"Prisoned for years, not for lifetime",No info,Other Motives,Children,Generation X
86,86,Vladimir Mirgorod,Male,01.11.1979,Russia,Unidentified,24,Without any Cause,No info,Women,16,16,Moderate,2,100,No info,Knife,Dead,None/No one,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Xennials
87,87,Farid Baghiandi,Male,1968,Iran,Labourer,36,Bullying,No info,Women,16,16,Moderate,4,100,Only child,Bare hands,Alive,Parents,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Generation X
88,88,Marybeth Tinning,Female,11.09.1942,USA,Labourer,30,Mental illness,Desire for attention,Children,13,15,Easy,13,20,Eldest,Pills/Injection,Alive,None/No one,"Prisoned for years, not for lifetime",No info,Other Motives,Children,Silent Generation
89,89,Donald Henry,Male,13.03.1933,USA,Labourer,20,Sexual abuse,Revenge,All,15,100,Moderate,29,10000,Youngest,Hammer/Axes,Dead,Social Circle,Death penalty,No info,Revenge or Hatred,Miscellaneous Groups,Silent Generation
90,90,Jimmy Maketta,Male,1964,South Africa,Police,41,Mental illness,No info,All,16,16,Hard,1,100,No info,Metal object,Alive,None/No one,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Baby Boomer Generation
91,91,Rosemary West,Female,29.11.1953,UK,Housewife,40,Bullying,Desire for power,Young women,10,12,Hard,16,100,Middle,Hammer/Axes,Alive,Parents,Life imprisonment,No info,Desire for Power or Fame,Young Individuals,Baby Boomer Generation
92,92,Ravinder Kumar,Male,1991,India,Unemployed,17,Resentment/Hate,Pervert,Children,15,30,Moderate,7,0,No info,Bare hands,Alive,Prostitutes/Women,Not imprisoned/Other,No info,Sexual or Sadistic Pleasure,Children,Millennial/Gen Y
93,93,Frederick West,Male,29.09.1941,UK,Labourer,31,Bullying,Pervert,Young women,10,13,Hard,16,100,Only child,Hammer/Axes,Dead,Prostitutes/Women,Life imprisonment,No info,Sexual or Sadistic Pleasure,Young Individuals,Silent Generation
94,94,Lee Choon Jae,Male,31.01.1963,South Korea,Transportation,23,Death of close person,Pervert,Women,15,15,Moderate,8,21,Eldest,Clothes,Alive,Family members,"Prisoned for years, not for lifetime",Intellectual,Sexual or Sadistic Pleasure,Miscellaneous Groups,Baby Boomer Generation
95,95,Carl Eugene Watts,Male,07.11.1953,USA,Police,21,Mental illness,Misogyny,Women,14,100,Hard,8,160,Eldest,Knife,Dead,None/No one,Life imprisonment,No info,Other Motives,Miscellaneous Groups,Baby Boomer Generation
96,96,Gwendolyn Graham ,Female,06.08.1963,USA,Medical Employee,24,Mental illness,Desire for attention ,Elders,8,11,Easy,1,40,Middle,Pills/Injection,Alive,None/No one,"Prisoned for years, not for lifetime",Intellectual,Other Motives,Elderly,Baby Boomer Generation
97,97,Cathy Wood,Female,07.03.1962,USA,Medical Employee,25,Mental illness,Desire for attention ,Elders,8,11,Easy,1,40,Youngest,Pills/Injection,Alive,None/No one,"Prisoned for years, not for lifetime",Intellectual,Other Motives,Elderly,Baby Boomer Generation
98,98,Bai Baoshan,Male,06.11.1958,China,Unemployed,25,Without any Cause,Robbery,All,15,15,Easy,14,10000,No info,Shooting,Dead,None/No one,Death penalty,Intellectual,Robbery or Material Gain,Miscellaneous Groups,Baby Boomer Generation
99,99,Karla Homolka,Female,04.05.1970,Canada,Medical Employee,17,Mental illness,Desire for acceptance by husband by killing others,Young women,5,6,Hard,5,12,Eldest,Hammer/Axes,Alive,Brain damage,"Prisoned for years, not for lifetime",No info,Other Motives,Young Individuals,Generation X
100,100,Maurizio Minghella,Male,16.07.1958,Italy,Unemployed,20,Death of close person,Mental illness,Prostitude,15,15,Moderate,23,100,Middle,Bare hands,Alive,Family members,Life imprisonment,Uneducated,Mental Illness or Psychological Issues,Prostitutes,Baby Boomer Generation
101,101,Valeriy Devyatyarov,Male,1944,Kazakhstan,Soldier,23,Resentment/Hate,Desire for revenge,Young girls,5,5,Moderate,1,10000,Only child,Bare hands,Dead,Prostitutes/Women,Death penalty,Intellectual,Revenge or Hatred,Young Individuals,Silent Generation
102,102,Nikolay Dzhumagaliev,Male,01.01.1952,Kazakhstan,Service,27,Mental illness,The desire to become superhuman,Women,10,100,Hard,11,0,Middle,Knife,Alive,None/No one,Not imprisoned/Other,No info,Desire for Power or Fame,Miscellaneous Groups,Baby Boomer Generation
103,103,Sergei Kopay,Male,1965,Kazakhstan,Medical Employee,32,Without any Cause,Cannibalism,Chilldren,7,7,Hard,2,100,No info,Bare hands,Dead,None/No one,Life imprisonment,No info,Sexual or Sadistic Pleasure,Children,Generation X
104,104,Polatbay Berdaliyev,Male,1986,Kazakhstan,Unidentified,25,Without any Cause,Desire for exciting experience,Young women,11,11,Moderate,1,100,No info,Bare hands,Alive,None/No one,Life imprisonment,No info,Other Motives,Young Individuals,Millennial/Gen Y
105,105,Akhmat Azimov,Male,1972,Uzbekistan ,Soldier,18,Without any Cause,Cannibalism ,Young boys,5,5,Hard,2,10000,Eldest,Rock,Dead,None/No one,Death penalty,No info,Sexual or Sadistic Pleasure,Young Individuals,Generation X
106,106,Abduseit Ormanov,Male,1986,Kazakhstan,Unidentified,25,Without any Cause,Desire for exciting experience,Young women,11,11,Moderate,1,100,No info,Bare hands,Alive,None/No one,Life imprisonment,No info,Other Motives,Young Individuals,Millennial/Gen Y
107,107,Oleg Muravlenko,Male,1973,Kazakhstan,Unemployed,25,Without any Cause,No info,Women,6,7,Moderate,2,10000,No info,Clothes,Dead,None/No one,Death penalty,No info,Miscellaneous or Undefined,Miscellaneous Groups,Generation X
